FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year_x,EventId_x,Type_x,Severity_origin,StartTime(UTC)_x,EndTime(UTC)_x,Precipitation(in)_origin,TimeZone_x,AirportCode_x,LocationLat_x,LocationLng_x,City_x,County_x,State_x,ZipCode_x,Year_y,Holiday_origin,EventId_y,Type_y,Severity_dest,StartTime(UTC)_y,EndTime(UTC)_y,Precipitation(in)_dest,TimeZone_y,AirportCode_y,LocationLat_y,LocationLng_y,City_y,County_y,State_y,ZipCode_y,Year,Holiday_dest,Month
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2729,BDL,"Hartford, CT",DFW,"Dallas/Fort Worth, TX",621,,,,,,,950,,,CANCELLED,C,NOT DIVERTED,269.0,,,1471.0,,,,,,2022,W-3500814,Snow,Light,2022-01-07,2022-01-07 07:51:00,0.02,US/Eastern,BDL,41.9389,-72.6832,Windsor Locks,Hartford,CT,6096.0,2022.0,0.0,,,,,,,,,,,,,,,2022,,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2729,BDL,"Hartford, CT",DFW,"Dallas/Fort Worth, TX",621,,,,,,,950,,,CANCELLED,C,NOT DIVERTED,269.0,,,1471.0,,,,,,2022,W-3500815,Snow,Moderate,2022-01-07,2022-01-07 08:11:00,0.03,US/Eastern,BDL,41.9389,-72.6832,Windsor Locks,Hartford,CT,6096.0,2022.0,0.0,,,,,,,,,,,,,,,2022,,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2729,BDL,"Hartford, CT",DFW,"Dallas/Fort Worth, TX",621,,,,,,,950,,,CANCELLED,C,NOT DIVERTED,269.0,,,1471.0,,,,,,2022,W-3500816,Snow,Light,2022-01-07,2022-01-07 08:51:00,0.02,US/Eastern,BDL,41.9389,-72.6832,Windsor Locks,Hartford,CT,6096.0,2022.0,0.0,,,,,,,,,,,,,,,2022,,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2729,BDL,"Hartford, CT",DFW,"Dallas/Fort Worth, TX",621,,,,,,,950,,,CANCELLED,C,NOT DIVERTED,269.0,,,1471.0,,,,,,2022,W-3500817,Snow,Heavy,2022-01-07,2022-01-07 09:05:00,0.08,US/Eastern,BDL,41.9389,-72.6832,Windsor Locks,Hartford,CT,6096.0,2022.0,0.0,,,,,,,,,,,,,,,2022,,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2729,BDL,"Hartford, CT",DFW,"Dallas/Fort Worth, TX",621,,,,,,,950,,,CANCELLED,C,NOT DIVERTED,269.0,,,1471.0,,,,,,2022,W-3500818,Snow,Moderate,2022-01-07,2022-01-07 09:51:00,0.03,US/Eastern,BDL,41.9389,-72.6832,Windsor Locks,Hartford,CT,6096.0,2022.0,0.0,,,,,,,,,,,,,,,2022,,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2729,BDL,"Hartford, CT",DFW,"Dallas/Fort Worth, TX",621,,,,,,,950,,,CANCELLED,C,NOT DIVERTED,269.0,,,1471.0,,,,,,2022,W-3500819,Snow,Heavy,2022-01-07,2022-01-07 10:51:00,0.15,US/Eastern,BDL,41.9389,-72.6832,Windsor Locks,Hartford,CT,6096.0,2022.0,0.0,,,,,,,,,,,,,,,2022,,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2729,BDL,"Hartford, CT",DFW,"Dallas/Fort Worth, TX",621,,,,,,,950,,,CANCELLED,C,NOT DIVERTED,269.0,,,1471.0,,,,,,2022,W-3500820,Snow,Moderate,2022-01-07,2022-01-07 11:51:00,0.05,US/Eastern,BDL,41.9389,-72.6832,Windsor Locks,Hartford,CT,6096.0,2022.0,0.0,,,,,,,,,,,,,,,2022,,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2729,BDL,"Hartford, CT",DFW,"Dallas/Fort Worth, TX",621,,,,,,,950,,,CANCELLED,C,NOT DIVERTED,269.0,,,1471.0,,,,,,2022,W-3500821,Snow,Heavy,2022-01-07,2022-01-07 12:02:00,0.07,US/Eastern,BDL,41.9389,-72.6832,Windsor Locks,Hartford,CT,6096.0,2022.0,0.0,,,,,,,,,,,,,,,2022,,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2729,BDL,"Hartford, CT",DFW,"Dallas/Fort Worth, TX",621,,,,,,,950,,,CANCELLED,C,NOT DIVERTED,269.0,,,1471.0,,,,,,2022,W-3500822,Snow,Light,2022-01-07,2022-01-07 13:44:00,0.1,US/Eastern,BDL,41.9389,-72.6832,Windsor Locks,Hartford,CT,6096.0,2022.0,0.0,,,,,,,,,,,,,,,2022,,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2729,BDL,"Hartford, CT",DFW,"Dallas/Fort Worth, TX",621,,,,,,,950,,,CANCELLED,C,NOT DIVERTED,269.0,,,1471.0,,,,,,2022,W-3500823,Snow,Moderate,2022-01-07,2022-01-07 14:14:00,0.06,US/Eastern,BDL,41.9389,-72.6832,Windsor Locks,Hartford,CT,6096.0,2022.0,0.0,,,,,,,,,,,,,,,2022,,1
