FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year_x,EventId_x,Type_x,Severity_origin,StartTime(UTC)_x,EndTime(UTC)_x,Precipitation(in)_origin,TimeZone_x,AirportCode_x,LocationLat_x,LocationLng_x,City_x,County_x,State_x,ZipCode_x,Year_y,Holiday_origin,EventId_y,Type_y,Severity_dest,StartTime(UTC)_y,EndTime(UTC)_y,Precipitation(in)_dest,TimeZone_y,AirportCode_y,LocationLat_y,LocationLng_y,City_y,County_y,State_y,ZipCode_y,Year,Holiday_dest,Month
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1763,SFO,"San Francisco, CA",AUS,"Austin, TX",1300,,,,,,,1827,,,CANCELLED,D,NOT DIVERTED,207.0,,,1504.0,,,,,,2022,W-7162467,Fog,Severe,2022-01-14,2022-01-14 15:24:00,0.0,US/Pacific,SFO,37.6196,-122.3656,San Francisco,San Mateo,CA,94128.0,2022.0,0.0,,,,,,,,,,,,,,,2022,,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1728,LAS,"Las Vegas, NV",SFO,"San Francisco, CA",1035,,,,,,,1218,,,CANCELLED,D,NOT DIVERTED,103.0,,,414.0,,,,,,2022,,,,,,,,,,,,,,,,,W-7162467,Fog,Severe,2022-01-14,2022-01-14 15:24:00,0.0,US/Pacific,SFO,37.6196,-122.3656,San Francisco,San Mateo,CA,94128.0,2022,0.0,1
2022-01-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,554,EWR,"Newark, NJ",DFW,"Dallas/Fort Worth, TX",750,,,,,,,1100,,,CANCELLED,B,NOT DIVERTED,250.0,,,1372.0,,,,,,2022,W-4424661,Rain,Light,2022-01-20,2022-01-20 14:22:00,0.26,US/Eastern,EWR,40.6827,-74.1693,Newark,Union,NJ,7114.0,2022.0,0.0,,,,,,,,,,,,,,,2022,,1
2022-01-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,554,EWR,"Newark, NJ",DFW,"Dallas/Fort Worth, TX",750,,,,,,,1100,,,CANCELLED,B,NOT DIVERTED,250.0,,,1372.0,,,,,,2022,W-4424662,Snow,Light,2022-01-20,2022-01-20 16:56:00,0.02,US/Eastern,EWR,40.6827,-74.1693,Newark,Union,NJ,7114.0,2022.0,0.0,,,,,,,,,,,,,,,2022,,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,708,MIA,"Miami, FL",EWR,"Newark, NJ",1330,,,,,,,1628,,,CANCELLED,D,NOT DIVERTED,178.0,,,1085.0,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,1
2022-01-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1883,MSY,"New Orleans, LA",EWR,"Newark, NJ",1400,,,,,,,1749,,,CANCELLED,A,NOT DIVERTED,169.0,,,1167.0,,,,,,2022,W-506155,Rain,Light,2022-01-20,2022-01-20 10:53:00,0.0,US/Central,MSY,29.9928,-90.2508,Kenner,Jefferson,LA,70062.0,2022.0,0.0,W-4424661,Rain,Light,2022-01-20,2022-01-20 14:22:00,0.26,US/Eastern,EWR,40.6827,-74.1693,Newark,Union,NJ,7114.0,2022,0.0,1
2022-01-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1883,MSY,"New Orleans, LA",EWR,"Newark, NJ",1400,,,,,,,1749,,,CANCELLED,A,NOT DIVERTED,169.0,,,1167.0,,,,,,2022,W-506155,Rain,Light,2022-01-20,2022-01-20 10:53:00,0.0,US/Central,MSY,29.9928,-90.2508,Kenner,Jefferson,LA,70062.0,2022.0,0.0,W-4424662,Snow,Light,2022-01-20,2022-01-20 16:56:00,0.02,US/Eastern,EWR,40.6827,-74.1693,Newark,Union,NJ,7114.0,2022,0.0,1
2022-01-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1883,MSY,"New Orleans, LA",EWR,"Newark, NJ",1400,,,,,,,1749,,,CANCELLED,A,NOT DIVERTED,169.0,,,1167.0,,,,,,2022,W-506156,Rain,Moderate,2022-01-20,2022-01-20 11:04:00,0.13,US/Central,MSY,29.9928,-90.2508,Kenner,Jefferson,LA,70062.0,2022.0,0.0,W-4424661,Rain,Light,2022-01-20,2022-01-20 14:22:00,0.26,US/Eastern,EWR,40.6827,-74.1693,Newark,Union,NJ,7114.0,2022,0.0,1
2022-01-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1883,MSY,"New Orleans, LA",EWR,"Newark, NJ",1400,,,,,,,1749,,,CANCELLED,A,NOT DIVERTED,169.0,,,1167.0,,,,,,2022,W-506156,Rain,Moderate,2022-01-20,2022-01-20 11:04:00,0.13,US/Central,MSY,29.9928,-90.2508,Kenner,Jefferson,LA,70062.0,2022.0,0.0,W-4424662,Snow,Light,2022-01-20,2022-01-20 16:56:00,0.02,US/Eastern,EWR,40.6827,-74.1693,Newark,Union,NJ,7114.0,2022,0.0,1
2022-01-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1883,MSY,"New Orleans, LA",EWR,"Newark, NJ",1400,,,,,,,1749,,,CANCELLED,A,NOT DIVERTED,169.0,,,1167.0,,,,,,2022,W-506157,Rain,Light,2022-01-20,2022-01-20 11:16:00,0.0,US/Central,MSY,29.9928,-90.2508,Kenner,Jefferson,LA,70062.0,2022.0,0.0,W-4424661,Rain,Light,2022-01-20,2022-01-20 14:22:00,0.26,US/Eastern,EWR,40.6827,-74.1693,Newark,Union,NJ,7114.0,2022,0.0,1
2022-01-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1883,MSY,"New Orleans, LA",EWR,"Newark, NJ",1400,,,,,,,1749,,,CANCELLED,A,NOT DIVERTED,169.0,,,1167.0,,,,,,2022,W-506157,Rain,Light,2022-01-20,2022-01-20 11:16:00,0.0,US/Central,MSY,29.9928,-90.2508,Kenner,Jefferson,LA,70062.0,2022.0,0.0,W-4424662,Snow,Light,2022-01-20,2022-01-20 16:56:00,0.02,US/Eastern,EWR,40.6827,-74.1693,Newark,Union,NJ,7114.0,2022,0.0,1
2022-01-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1883,MSY,"New Orleans, LA",EWR,"Newark, NJ",1400,,,,,,,1749,,,CANCELLED,A,NOT DIVERTED,169.0,,,1167.0,,,,,,2022,W-506158,Rain,Light,2022-01-20,2022-01-20 15:53:00,0.08,US/Central,MSY,29.9928,-90.2508,Kenner,Jefferson,LA,70062.0,2022.0,0.0,W-4424661,Rain,Light,2022-01-20,2022-01-20 14:22:00,0.26,US/Eastern,EWR,40.6827,-74.1693,Newark,Union,NJ,7114.0,2022,0.0,1
2022-01-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1883,MSY,"New Orleans, LA",EWR,"Newark, NJ",1400,,,,,,,1749,,,CANCELLED,A,NOT DIVERTED,169.0,,,1167.0,,,,,,2022,W-506158,Rain,Light,2022-01-20,2022-01-20 15:53:00,0.08,US/Central,MSY,29.9928,-90.2508,Kenner,Jefferson,LA,70062.0,2022.0,0.0,W-4424662,Snow,Light,2022-01-20,2022-01-20 16:56:00,0.02,US/Eastern,EWR,40.6827,-74.1693,Newark,Union,NJ,7114.0,2022,0.0,1
2022-01-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1883,MSY,"New Orleans, LA",EWR,"Newark, NJ",1400,,,,,,,1749,,,CANCELLED,A,NOT DIVERTED,169.0,,,1167.0,,,,,,2022,W-506159,Rain,Light,2022-01-20,2022-01-20 19:53:00,0.0,US/Central,MSY,29.9928,-90.2508,Kenner,Jefferson,LA,70062.0,2022.0,0.0,W-4424661,Rain,Light,2022-01-20,2022-01-20 14:22:00,0.26,US/Eastern,EWR,40.6827,-74.1693,Newark,Union,NJ,7114.0,2022,0.0,1
2022-01-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1883,MSY,"New Orleans, LA",EWR,"Newark, NJ",1400,,,,,,,1749,,,CANCELLED,A,NOT DIVERTED,169.0,,,1167.0,,,,,,2022,W-506159,Rain,Light,2022-01-20,2022-01-20 19:53:00,0.0,US/Central,MSY,29.9928,-90.2508,Kenner,Jefferson,LA,70062.0,2022.0,0.0,W-4424662,Snow,Light,2022-01-20,2022-01-20 16:56:00,0.02,US/Eastern,EWR,40.6827,-74.1693,Newark,Union,NJ,7114.0,2022,0.0,1
2022-01-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1883,MSY,"New Orleans, LA",EWR,"Newark, NJ",1400,,,,,,,1749,,,CANCELLED,A,NOT DIVERTED,169.0,,,1167.0,,,,,,2022,W-506160,Rain,Light,2022-01-20,2022-01-21 00:21:00,0.0,US/Central,MSY,29.9928,-90.2508,Kenner,Jefferson,LA,70062.0,2022.0,0.0,W-4424661,Rain,Light,2022-01-20,2022-01-20 14:22:00,0.26,US/Eastern,EWR,40.6827,-74.1693,Newark,Union,NJ,7114.0,2022,0.0,1
2022-01-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1883,MSY,"New Orleans, LA",EWR,"Newark, NJ",1400,,,,,,,1749,,,CANCELLED,A,NOT DIVERTED,169.0,,,1167.0,,,,,,2022,W-506160,Rain,Light,2022-01-20,2022-01-21 00:21:00,0.0,US/Central,MSY,29.9928,-90.2508,Kenner,Jefferson,LA,70062.0,2022.0,0.0,W-4424662,Snow,Light,2022-01-20,2022-01-20 16:56:00,0.02,US/Eastern,EWR,40.6827,-74.1693,Newark,Union,NJ,7114.0,2022,0.0,1
2022-01-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2238,SRQ,"Sarasota/Bradenton, FL",EWR,"Newark, NJ",1515,,,,,,,1759,,,CANCELLED,A,NOT DIVERTED,164.0,,,1034.0,,,,,,2022,,,,,,,,,,,,,,,,,W-4424661,Rain,Light,2022-01-20,2022-01-20 14:22:00,0.26,US/Eastern,EWR,40.6827,-74.1693,Newark,Union,NJ,7114.0,2022,0.0,1
2022-01-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2238,SRQ,"Sarasota/Bradenton, FL",EWR,"Newark, NJ",1515,,,,,,,1759,,,CANCELLED,A,NOT DIVERTED,164.0,,,1034.0,,,,,,2022,,,,,,,,,,,,,,,,,W-4424662,Snow,Light,2022-01-20,2022-01-20 16:56:00,0.02,US/Eastern,EWR,40.6827,-74.1693,Newark,Union,NJ,7114.0,2022,0.0,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1267,EWR,"Newark, NJ",TPA,"Tampa, FL",820,,,,,,,1132,,,CANCELLED,D,NOT DIVERTED,192.0,,,997.0,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,413,IAH,"Houston, TX",MCO,"Orlando, FL",942,,,,,,,1302,,,CANCELLED,D,NOT DIVERTED,140.0,,,854.0,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1802,ORD,"Chicago, IL",DSM,"Des Moines, IA",2030,,,,,,,2155,,,CANCELLED,B,NOT DIVERTED,85.0,,,299.0,,,,,,2022,W-564568,Snow,Light,2022-01-14,2022-01-14 08:16:00,0.0,US/Central,ORD,41.9875,-87.9319,Bensenville,DuPage,IL,60106.0,2022.0,0.0,W-167204,Snow,Light,2022-01-14,2022-01-14 19:54:00,0.02,US/Central,DSM,41.534,-93.6531,Bloomfield,Polk,IA,50321.0,2022,0.0,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1802,ORD,"Chicago, IL",DSM,"Des Moines, IA",2030,,,,,,,2155,,,CANCELLED,B,NOT DIVERTED,85.0,,,299.0,,,,,,2022,W-564568,Snow,Light,2022-01-14,2022-01-14 08:16:00,0.0,US/Central,ORD,41.9875,-87.9319,Bensenville,DuPage,IL,60106.0,2022.0,0.0,W-167205,Snow,Moderate,2022-01-14,2022-01-14 20:04:00,0.03,US/Central,DSM,41.534,-93.6531,Bloomfield,Polk,IA,50321.0,2022,0.0,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1802,ORD,"Chicago, IL",DSM,"Des Moines, IA",2030,,,,,,,2155,,,CANCELLED,B,NOT DIVERTED,85.0,,,299.0,,,,,,2022,W-564568,Snow,Light,2022-01-14,2022-01-14 08:16:00,0.0,US/Central,ORD,41.9875,-87.9319,Bensenville,DuPage,IL,60106.0,2022.0,0.0,W-167206,Snow,Light,2022-01-14,2022-01-14 20:54:00,0.01,US/Central,DSM,41.534,-93.6531,Bloomfield,Polk,IA,50321.0,2022,0.0,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1802,ORD,"Chicago, IL",DSM,"Des Moines, IA",2030,,,,,,,2155,,,CANCELLED,B,NOT DIVERTED,85.0,,,299.0,,,,,,2022,W-564568,Snow,Light,2022-01-14,2022-01-14 08:16:00,0.0,US/Central,ORD,41.9875,-87.9319,Bensenville,DuPage,IL,60106.0,2022.0,0.0,W-167207,Snow,Heavy,2022-01-14,2022-01-14 22:03:00,0.19,US/Central,DSM,41.534,-93.6531,Bloomfield,Polk,IA,50321.0,2022,0.0,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1802,ORD,"Chicago, IL",DSM,"Des Moines, IA",2030,,,,,,,2155,,,CANCELLED,B,NOT DIVERTED,85.0,,,299.0,,,,,,2022,W-564568,Snow,Light,2022-01-14,2022-01-14 08:16:00,0.0,US/Central,ORD,41.9875,-87.9319,Bensenville,DuPage,IL,60106.0,2022.0,0.0,W-167208,Snow,Light,2022-01-14,2022-01-14 22:15:00,0.01,US/Central,DSM,41.534,-93.6531,Bloomfield,Polk,IA,50321.0,2022,0.0,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1802,ORD,"Chicago, IL",DSM,"Des Moines, IA",2030,,,,,,,2155,,,CANCELLED,B,NOT DIVERTED,85.0,,,299.0,,,,,,2022,W-564568,Snow,Light,2022-01-14,2022-01-14 08:16:00,0.0,US/Central,ORD,41.9875,-87.9319,Bensenville,DuPage,IL,60106.0,2022.0,0.0,W-167209,Snow,Moderate,2022-01-14,2022-01-14 23:06:00,0.1,US/Central,DSM,41.534,-93.6531,Bloomfield,Polk,IA,50321.0,2022,0.0,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1802,ORD,"Chicago, IL",DSM,"Des Moines, IA",2030,,,,,,,2155,,,CANCELLED,B,NOT DIVERTED,85.0,,,299.0,,,,,,2022,W-564568,Snow,Light,2022-01-14,2022-01-14 08:16:00,0.0,US/Central,ORD,41.9875,-87.9319,Bensenville,DuPage,IL,60106.0,2022.0,0.0,W-167210,Snow,Light,2022-01-14,2022-01-14 23:28:00,0.01,US/Central,DSM,41.534,-93.6531,Bloomfield,Polk,IA,50321.0,2022,0.0,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1802,ORD,"Chicago, IL",DSM,"Des Moines, IA",2030,,,,,,,2155,,,CANCELLED,B,NOT DIVERTED,85.0,,,299.0,,,,,,2022,W-564568,Snow,Light,2022-01-14,2022-01-14 08:16:00,0.0,US/Central,ORD,41.9875,-87.9319,Bensenville,DuPage,IL,60106.0,2022.0,0.0,W-167211,Snow,Moderate,2022-01-14,2022-01-14 23:54:00,0.03,US/Central,DSM,41.534,-93.6531,Bloomfield,Polk,IA,50321.0,2022,0.0,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1802,ORD,"Chicago, IL",DSM,"Des Moines, IA",2030,,,,,,,2155,,,CANCELLED,B,NOT DIVERTED,85.0,,,299.0,,,,,,2022,W-564568,Snow,Light,2022-01-14,2022-01-14 08:16:00,0.0,US/Central,ORD,41.9875,-87.9319,Bensenville,DuPage,IL,60106.0,2022.0,0.0,W-167212,Snow,Heavy,2022-01-14,2022-01-15 00:22:00,0.07,US/Central,DSM,41.534,-93.6531,Bloomfield,Polk,IA,50321.0,2022,0.0,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1802,ORD,"Chicago, IL",DSM,"Des Moines, IA",2030,,,,,,,2155,,,CANCELLED,B,NOT DIVERTED,85.0,,,299.0,,,,,,2022,W-564569,Snow,Light,2022-01-14,2022-01-14 23:04:00,0.0,US/Central,ORD,41.9875,-87.9319,Bensenville,DuPage,IL,60106.0,2022.0,0.0,W-167204,Snow,Light,2022-01-14,2022-01-14 19:54:00,0.02,US/Central,DSM,41.534,-93.6531,Bloomfield,Polk,IA,50321.0,2022,0.0,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1802,ORD,"Chicago, IL",DSM,"Des Moines, IA",2030,,,,,,,2155,,,CANCELLED,B,NOT DIVERTED,85.0,,,299.0,,,,,,2022,W-564569,Snow,Light,2022-01-14,2022-01-14 23:04:00,0.0,US/Central,ORD,41.9875,-87.9319,Bensenville,DuPage,IL,60106.0,2022.0,0.0,W-167205,Snow,Moderate,2022-01-14,2022-01-14 20:04:00,0.03,US/Central,DSM,41.534,-93.6531,Bloomfield,Polk,IA,50321.0,2022,0.0,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1802,ORD,"Chicago, IL",DSM,"Des Moines, IA",2030,,,,,,,2155,,,CANCELLED,B,NOT DIVERTED,85.0,,,299.0,,,,,,2022,W-564569,Snow,Light,2022-01-14,2022-01-14 23:04:00,0.0,US/Central,ORD,41.9875,-87.9319,Bensenville,DuPage,IL,60106.0,2022.0,0.0,W-167206,Snow,Light,2022-01-14,2022-01-14 20:54:00,0.01,US/Central,DSM,41.534,-93.6531,Bloomfield,Polk,IA,50321.0,2022,0.0,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1802,ORD,"Chicago, IL",DSM,"Des Moines, IA",2030,,,,,,,2155,,,CANCELLED,B,NOT DIVERTED,85.0,,,299.0,,,,,,2022,W-564569,Snow,Light,2022-01-14,2022-01-14 23:04:00,0.0,US/Central,ORD,41.9875,-87.9319,Bensenville,DuPage,IL,60106.0,2022.0,0.0,W-167207,Snow,Heavy,2022-01-14,2022-01-14 22:03:00,0.19,US/Central,DSM,41.534,-93.6531,Bloomfield,Polk,IA,50321.0,2022,0.0,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1802,ORD,"Chicago, IL",DSM,"Des Moines, IA",2030,,,,,,,2155,,,CANCELLED,B,NOT DIVERTED,85.0,,,299.0,,,,,,2022,W-564569,Snow,Light,2022-01-14,2022-01-14 23:04:00,0.0,US/Central,ORD,41.9875,-87.9319,Bensenville,DuPage,IL,60106.0,2022.0,0.0,W-167208,Snow,Light,2022-01-14,2022-01-14 22:15:00,0.01,US/Central,DSM,41.534,-93.6531,Bloomfield,Polk,IA,50321.0,2022,0.0,1
2022-01-14,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1802,ORD,"Chicago, IL",DSM,"Des Moines, IA",2030,,,,,,,2155,,,CANCELLED,B,NOT DIVERTED,85.0,,,299.0,,,,,,2022,W-564569,Snow,Light,2022-01-14,2022-01-14 23:04:00,0.0,US/Central,ORD,41.9875,-87.9319,Bensenville,DuPage,IL,60106.0,2022.0,0.0,W-167209,Snow,Moderate,2022-01-14,2022-01-14 23:06:00,0.1,US/Central,DSM,41.534,-93.6531,Bloomfield,Polk,IA,50321.0,2022,0.0,1
